Rank1;Ordinal1;Functional1;gaussian1;categorical1;poisson1
4, 2, 3, 1;4;27.3258035769686:0.935560982071119,41.292059852276:6.49848797121615,8.2370393909514:6.71287654323474,47.7689870982431:9.10381770468467,10.1945570204407:5.90733516034626,41.9182632118464:6.76677562425407,14.7840748075396:4.08953476480018,13.8017091550864:4.47195017002688,10.9830384608358:5.6120390649507,2.2717107902281:9.09248594426368,16.0565811675042:3.59198944907607,47.683329123538:9.08402560668435,23.0953839956783:0.764782647638038,25.5803249776363:0.239621115469019,4.90279830992222:8.04161237458862,7.18938391655684:7.11965147370389,48.0505000683479:9.23760060757782,49.4013525312766:9.77037326899234,12.9511087550782:4.8139648344364,6.83428691700101:7.26432812936855;0.0972741571448037;3;8
4, 2, 3, 1;4;42.2316235839389:6.89139404800169,23.1402130331844:0.74504116281713,13.4624456521124:4.60608068126893,28.1120663625188:1.2395319638161,15.6746318913065:3.72363913486305,19.3916036281735:2.24887999694808,47.6659340434708:9.05355852636503,42.0344975078478:6.8063764174063,18.0837837280706:2.74923780904917,15.6359683373012:3.75328365442462,21.1937035550363:1.5107955991121,39.6874967962503:5.86783451191277,8.64212193991989:6.55230950455426,48.7874981132336:9.51330767873519,42.2056439099833:6.87918031606778,29.7445371630602:1.87982199931923,3.00860279239714:8.78261344866067,5.18395846011117:7.9211381717032,47.6790745742619:9.06529274096219,33.8158219936304:3.52703597072093;0.0998298788194771;2;11
4, 3, 2, 1;4;39.9255259777419:5.95138155203579,1.36291419621557:9.46594678404955,44.541561906226:7.81351652761982,37.8057411755435:5.11299767152333,9.46411039913073:6.23094219815247,34.3869981006719:3.73289926411045,43.9553972682916:7.58728600480017,33.5543931578286:3.42526618368489,0.172334746457636:9.9521441799537,47.0896958606318:8.84049382067159,28.6656930460595:1.46040280883068,1.96685448754579:9.20461095847788,24.2468121927232:0.310609752171276,26.5668542822823:0.623827902469258,27.6856908458285:1.07193675101467,49.0238472353667:9.61939813575172,30.829992913641:2.3250479154895,46.5723170200363:8.64645443230494,27.2502103121951:0.896498043095474,23.3048722730018:0.669017038867348;1.45848389325583;1;6
4, 3, 2, 1;4;26.6409642063081:0.642076684569537,27.4020284181461:0.956605897653536,42.0143916504458:6.79838353574463,7.93351861648262:6.83968259795869,41.6770489071496:6.67656954949712,0.613217358477414:9.75842097051686,22.4646047805436:1.00959076249721,24.429435946513:0.229035064680338,10.6789659010246:5.7208734872203,10.4451339226216:5.82804389426448,48.7832046928816:9.50846241124973,47.3925512866117:8.95828883753886,2.36395972315222:9.04473759721083,30.0835579517297:2.05656403075438,42.3047099844553:6.92575217151594,14.5385005977005:4.1758987304451,41.0771217313595:6.42369666037979,30.8139816857874:2.34151054019006,48.3234738698229:9.3306646427527,42.8252227953635:7.12020329154394;-0.746489339538805;1;5
3, 2, 4, 1;3;34.4468753784895:3.76874670313923,4.61778527824208:8.16329419598943,23.7659451318905:0.49116366950666,44.813728693407:7.92861517917659,29.5133168925531:1.83024989398302,26.0753100737929:0.428301829541265,40.3139728005044:6.12949305209631,1.98533062357455:9.21457047894305,11.2855518818833:5.48818123153992,38.7830815976486:5.52120168632884,32.9430379671976:3.18859764948309,42.7384571987204:7.11223813790218,5.88264991529286:7.64561211927092,17.2066576429643:3.11298616547931,43.6138156219386:7.44180468297946,35.0560972001404:4.02284665145348,10.1662540575489:5.93722592685035,43.4221208328381:7.36445837720625,22.7445218479261:0.910333498291133,32.7202478656545:3.10019373430357;-0.892114713229793;1;6
4, 2, 1, 3;4;13.7318864930421:4.51126773912439,16.4098119363189:3.4282029122964,48.2314590015449:9.28663058737876,25.458124326542:0.174712543006874,25.6536700646393:0.272767833625474,14.1116704442538:4.36188609762622,24.1244048578665:0.341053192536878,36.6486280923709:4.65706674794728,44.4075468345545:7.75357565057073,6.50504267541692:7.40808621234611,10.6188328238204:5.73975478030525,39.9747784482315:5.99116338282051,11.6332383244298:5.35911566943676,25.6445509963669:0.254779012700533,20.5597069812939:1.7660917796941,43.3563761296682:7.34559689165805,15.2625277172774:3.91390945523871,2.10375356255099:9.17418685288721,26.5112274093553:0.607951743622928,11.3331717206165:5.4850164863556;-0.45841515026621;4;?
2, 1, 4, 3;4;19.9796232976951:2.01257912884172,15.6926486408338:3.71397987461869,2.52354092663154:8.9972891058239,13.5710950708017:4.56527755649368,5.47393368324265:7.79927617846779,39.9165997747332:5.98290926582977,0.490982504561543:9.79873566440844,1.81702632689849:9.27048101966847,46.5025935438462:8.60790449218358,41.3667467539199:6.55133163501013,0.210006476845592:9.91309771166364,5.5146178114228:7.78171125982271,27.6675227680244:1.07531994400186,28.2283312059008:1.28880351252537,10.807683528401:5.6670838162691,10.8038562815636:5.70103976537052,16.5061673847958:3.40283337062186,18.0775031098165:2.76570481121806,44.5243607391603:7.81650840518405,25.5256217438728:0.226617966087408;1.6059988972646;3;9
3, 4, 1, 2;3;5.4077708744444:2.16512330654345,16.8955542962067:6.76802396489929,23.387647268828:9.36439491305189,10.2706716745161:4.08556750778955,38.1534532061778:4.73076805496749,26.6385029652156:9.33598236339243,25.393197091762:9.84057617314243,20.2373161446303:8.09911003269934,39.9634147412144:4.00489335908934,16.1642733379267:6.44930718581503,19.6883611381054:7.86455935746871,16.2851163069718:6.51130061356184,17.2057551331818:6.89208807699705,23.5513991909102:9.41195946556136,34.8011479596607:6.09872982181536,16.426250746008:6.57570431070911,46.5619687107392:1.3890743149123,42.1933555277064:3.11542486323924,32.2490790858865:7.11152346026365,29.437652870547:8.21250495508624;-1.31569681604837;1;4
4, 1, 2, 3;1;34.1870135627687:6.33217641234044,38.2761078653857:4.68305106554683,23.3292798162438:9.32714763892126,47.1646271063946:1.12555276585095,11.9365316582844:4.76526074820437,7.12389567634091:2.84465120815976,27.1450157160871:9.15354250607302,17.2413402586244:6.89991547222526,18.1082164519466:7.24756869376873,7.17376212123781:2.88615742442217,2.83022775547579:1.13662707126573,37.6298544346355:4.95422499814205,45.2920361072756:1.87825544785557,39.7804936626926:4.06944715492014,24.1772971116006:9.65885173538648,8.27513854019344:3.31080946654449,3.65084912627935:1.4558025278334,8.32177746342495:3.3289992208078,20.4113382380456:8.1685965029604,17.5491344067268:7.00751398309572;-0.70637034739999;3;3
1, 3, 2, 4;4;7.34180780127645:2.95101363571702,9.61346462136135:3.84573062787693,18.8496362534352:7.54399845619317,1.14702441496775:0.448091356648259,4.35654415050521:1.72910586155814,21.4279393432662:8.56557707974865,3.58988819643855:1.44926097923084,25.2949067973532:9.89384397772924,24.6156695880927:9.83104405297189,34.9170465487987:6.0335779674296,44.7581643937156:2.08979892204371,15.3347960673273:6.14582509310527,37.9999186261557:4.7871267996294,29.7451079939492:8.10446466508728,21.7594673042186:8.69897125612191,34.4852887094021:6.20132850170731,42.3116796417162:3.07001023182739,4.04687075642869:1.6252789932348,49.7796662501059:0.0849987987577861,17.4661413766444:6.99249941248602;0.86398559394437;2;5
2, 1, 3, 4;1;31.2750886427239:7.48918437234371,49.0123201394454:0.387623109810397,11.3073856336996:4.52462972479457,20.308940205723:8.1276564789989,18.5878767631948:7.44001646963328,0.171344145201147:0.0674165077383859,20.1672084396705:8.07036245560864,30.0873932777904:7.97095168365818,13.2992395781912:5.32588301391622,16.4802079787478:6.58164870478908,13.9265149249695:5.5517698514498,42.6564420573413:2.94892444422965,22.9926629690453:9.19484474523999,40.9949224442244:3.60571648391508,25.1901956857182:9.93123620790553,46.9151695957407:1.22180737713408,29.230821155943:8.30158512650647,8.42941442970186:3.36565318575662,21.8504443881102:8.73662294005322,29.9756835098378:8.01843811258512;-1.22970370233729;4;4
4, 2, 3, 1;4;7.54317751852795:6.98040074963239,31.4101519412361:2.56687535514181,8.48559469450265:6.61076262834002,11.1046228790656:5.5601757994167,24.1950851399451:0.330193329767659,32.1753899217583:2.88078775952098,9.55270875710994:6.20280956549091,28.0321224359795:1.21785513356446,36.8474739487283:4.73749500594946,45.0799918151461:8.03581615138101,4.86470243195072:8.0611601378801,44.9794047628529:7.97031083570978,26.801460958086:0.722164517039484,2.26117535494268:9.09279124271113,7.61369661195204:6.96986648786577,25.516871525906:0.209859098549746,12.0421929401346:5.1752813782122,10.4124489589594:5.83778842414689,38.6075631366111:5.43859727577845,28.4921118523926:1.41311348075342;0.42041990236294;2;9
1, 2, 3, 4;1;6.19451150996611:2.48729234849225,43.7887127394788:2.47437230954664,0.247645063791424:0.104196402894923,41.7675044387579:3.30219968869678,21.877925330773:8.74015178741374,17.7101189503446:7.07985290585207,16.1553198820911:6.45113035183415,36.4828199963085:5.40046149669688,19.3045572959818:7.75051160104589,18.4354127501138:7.3824934544609,47.5995055749081:0.959445932649966,42.9028019425459:2.84422169792939,7.70901781506836:3.09906879421379,7.11541259661317:2.84761783281023,30.1025300752372:7.94814284385492,48.6623844015412:0.548736244081501,5.71100489469245:2.26887992741361,23.1438507558778:9.2523276908154,47.7895093150437:0.868953221152814,18.5274761286564:7.41178746048334;-0.215578726347508;2;7
4, 3, 2, 1;4;2.09629941964522:9.15480128394275,2.96558728441596:8.80819523211888,32.2231013444252:2.87807834149674,22.7132508880459:0.918984503547686,22.2532659419812:1.09898921578675,20.0129864155315:2.00624698854492,32.9727866104804:3.1756796218595,15.311359858606:3.88249053474003,37.9921404528432:5.21519851750621,45.7057291059755:8.28712307649047,44.6976859821007:7.88601305864823,43.3923557051457:7.35743729189537,46.1314027779736:8.43204475773302,32.6394253061153:3.0596858374828,45.9933368023485:8.39743888501702,45.1989669818431:8.08119257325825,9.83560731401667:6.07061737748354,44.2595382221043:7.70821549935556,35.5342324124649:4.20450555519579,30.5664949817583:2.22881654560916;-1.07722928561621;4;3
4, 3, 2, 1;4;5.01024464610964:8.01175348780877,30.9984488994814:2.39969331462512,43.8073774101213:7.52914507762634,38.5129756876267:5.42338520596601,1.12394141033292:9.54660909759658,24.9278616858646:0.0466944469063075,33.419013209641:3.37100646868675,19.6944206254557:2.13301234322778,34.0615888941102:3.61117007338131,33.4150197566487:3.38326711524137,15.6607259530574:3.7375297999472,10.2082554018125:5.92183907530593,2.42867233464494:9.02853388622337,35.6607538415119:4.25675694088828,37.8798294696026:5.15628161930125,13.1850763456896:4.7182444139644,2.03667631139979:9.16565356487015,35.7962778885849:4.32895521837089,47.9093223344535:9.1653578895953,2.70166684640571:8.91438295285463;0.802437987972685;1;2
4, 2, 3, 1;?;5.97175228176638:7.60738881304982,39.7394175175577:5.8943849227228,39.5261255907826:5.80882231570376,7.52451525768265:6.98387122042283,31.6257276223041:2.6522121672825,24.0199907100759:0.39649133926728,44.6501454222016:7.86521723007564,15.2518876944669:3.88657930591269,25.0774880987592:0.0417235485764407,32.8271419159137:3.13220112616798,0.838839809875935:9.66141420249425,36.8252019630745:4.73597839808654,29.0999259217642:1.63160004616256,45.1697359792888:8.07070301426542,6.03830318432301:7.57248962122034,8.50726496428251:6.586438051373,15.1367914979346:3.9532489220519,38.6209275573492:5.43971892958146,14.5431453944184:4.18275511064479,35.9310098108836:4.352385157678;-1.20355069370082;?;?
1, 2, 3, 4;1;39.4919449230656:4.2065102193528,28.6049484857358:8.54176867049692,40.2831490384415:3.88402627643593,25.2925726468675:9.89896140616221,46.2962766294368:1.47283738940462,41.3378448225558:3.4551625065752,17.0217950479127:6.80029410748234,12.9141453769989:5.16545294168421,13.4097138536163:5.34288441330854,19.8560994816944:7.93721938062537,15.1000828715041:6.03936757454999,15.1021300349385:6.0556593699283,32.6993766007945:6.92799574638545,46.713283774443:1.32748653715557,35.2140278089792:5.91044533512192,1.86329090502113:0.753886963935066,34.5044941757806:6.21180645683692,22.6441589533351:9.06874850447899,5.71644738083705:2.30086141858477,36.412171612028:5.44832933535293;0.40382603716536;2;10
2, 4, 3, 1;4;45.8112279651687:8.32849582062854,13.6067312094383:4.56251810907258,22.0003656228073:1.19544292419408,0.136943801771849:9.95123480534215,19.6418497595005:2.13614279455626,25.1653331215493:-0.0633212151913245,12.0883725117892:5.17190041405636,46.71750231646:8.69798549034833,42.3522774013691:6.94788096004506,49.1439221077599:9.65679284037881,5.80541880335659:7.67874963385347,13.3746152860112:4.65256264194983,6.49577039293945:7.41724559603561,21.3108542142436:1.48098310092579,31.0283354483545:2.41101216594657,37.1581725776196:4.86163853667825,20.8592072944157:1.65271966697401,8.92085556406528:6.42324231395073,46.3511954760179:8.56169526549751,33.5443655611016:3.41027749620081;-0.0221831232275456;?;5
1, 2, 3, 4;1;47.6995578850619:0.912995851636368,35.1352420519106:5.94499799173173,12.7732328488491:5.10100816765633,19.3062458303757:7.73325344419389,37.980080221314:4.79982038519909,38.8910372392274:4.44163114361873,37.5914420234039:4.96580662794903,25.5745020578615:9.7792161002648,12.9107858170755:5.16061150435055,7.40064332494512:2.96714203268074,47.2272597369738:1.11625990914975,10.5367017211393:4.21639676494544,36.5383545751683:5.39049250786014,45.8883685991168:1.62688874461493,10.4720901465043:4.17053962932151,14.940293005202:5.97103547461814,36.2244039075449:5.49870955302968,28.386080369819:8.63335228052179,29.7237171442248:8.09966427442793,4.76297686109319:1.9100035081671;2.23892076529871;2;6
1, 2, 3, 4;1;5.76899966690689:2.30521024807296,22.5291521172039:9.01051384689951,49.1270442376845:0.339673586259984,24.0214817575179:9.61407535666735,14.8402935010381:5.92667307348535,24.7709180344827:9.89974731033879,31.2998244422488:7.49686671260613,31.915698654484:7.22186633378436,35.6320307939313:5.73331795434969,25.5900583113544:9.75797625072628,45.9228606661782:1.63574241334282,21.1521496530622:8.4398148194349,14.5909786690027:5.81068261549936,37.6754516619258:4.93027337114334,41.6833944735117:3.3447739714139,34.1515934211202:6.33510706122267,38.7329816701822:4.5088758680637,38.9428005320951:4.42625989340375,30.0214561983012:7.97907093874531,16.7055804166012:6.68409195195957;-1.01739237164592;3;6
4, 3, 1, 2;4;37.1645420324057:4.85835075855937,14.7594915470108:4.09282142105357,46.9768172712065:8.78373277413747,26.378650823608:0.549306249204419,39.337062521372:5.72951370520512,1.48816932924092:9.40598593790206,45.9706439170986:8.38772365967509,27.5005703326315:1.01321483404125,14.9493068340234:4.01653690481413,26.4182672603056:0.556654718246572,6.13081561168656:7.54967509829634,32.6392898219638:3.06855181101436,45.9103857749142:8.36454135531735,38.2245343760587:5.29154512065612,10.2173162158579:5.9058287768383,15.8761656959541:3.66558203364929,24.4356263079681:-0.21921225835986,38.0346428602934:5.202811270063,41.2194286705926:6.48869043207238,29.6063860761933:1.82302836056336;-0.867991600065916;3;3
1, 4, 3, 2;4;38.4772931109183:5.38102092218772,3.18127245409414:8.72881424098804,18.0247668758966:2.78969352907643,11.6720322403125:5.32992197135982,45.7820419222116:8.3142546356895,46.74266949296:8.6905377212688,15.0302047724836:3.98074782365529,9.20873245922849:6.34421543455152,41.4772722753696:6.58179516540697,21.2633749237284:1.52028988092385,7.59745438117534:6.96008805296798,47.2362940665334:8.87007675219567,8.873649709858:6.46238275327842,40.2280741021968:6.08932875740126,48.5496608540416:9.41331619930355,33.3779196022078:3.34966224336319,30.8622556505725:2.32622845806384,16.6876705712639:3.33645687850544,26.8604959012009:0.761871180425147,24.2514077457599:0.291929370006847;0.0166723230654398;2;5
4, 3, 2, 1;4;18.8088802853599:2.47631584688105,32.7966301352717:3.11437612180216,47.0580185297877:8.81091073703327,12.2420493862592:5.10893009844068,31.8626414518803:2.75064855670872,48.2950813602656:9.32725414055066,37.1366307488643:4.86335143572657,37.0594209409319:4.83577504265363,37.7863992704079:5.10725011043959,13.6221329448745:4.54571269071408,25.1062415656634:-0.0511388100974016,4.83029306633398:8.06806687009068,17.9963293951005:2.80242087409122,15.8828611136414:3.64585602086595,19.9109889101237:2.02111531012867,36.4450238179415:4.58047068494248,27.367935096845:0.946798501366809,15.5225009424612:3.79372114338094,45.8363343612291:8.34020817137277,3.65613399771973:8.52530614287628;0.249076762366595;3;3
1, 2, 3, 4;1;46.9496664474718:1.23322376092462,26.3669057399966:9.46841398278882,20.3080876497552:8.13214778854603,41.3769198348746:3.44282722566165,17.5061528454535:6.99473929030051,27.772446081508:8.89474292786147,1.22975356644019:0.496661822237923,7.31714452849701:2.9238875806731,3.31279056845233:1.32213908870503,27.3069823626429:9.06914150964602,16.3926915614866:6.56333823408629,3.83961939951405:1.53864126827646,19.0019560046494:7.60557491739014,28.3653238904662:8.64786737727917,47.193284437526:1.11234890976714,43.491594644729:2.60922342399627,38.8871747651137:4.43505511240788,33.1594893243164:6.72979776556891,48.4267833759077:0.63604444981973,35.4101182310842:5.83607847663303;0.733629499610817;1;6
4, 2, 1, 3;4;34.7714601666667:3.9004045330391,33.9864342124201:3.59604352448392,10.2509222459048:5.91141615181302,11.2000057706609:5.5202730002596,14.5364967407659:4.18777472550232,1.14640217507258:9.55079862129142,16.444593842607:3.43184707092576,35.0329483859241:4.02184224487546,32.7882799669169:3.09380713555156,28.1028837431222:1.23374634413959,18.5632350388914:2.57124722243031,41.5664113359526:6.62678894562812,10.7439054059796:5.70060256169938,14.2557335086167:4.28766527111438,30.6275992421433:2.25544760880115,8.95106337266043:6.41929759171594,48.518722562585:9.39580588568362,39.8840493755415:5.98332740467274,26.4970317599364:0.606810735064551,16.868057497777:3.23218944319593;?;3;4
1, 2, 3, 4;2;15.859787107911:6.33802977547438,22.5507921306416:9.03597982950501,16.6147817741148:6.65032024086978,27.6249094400555:8.950352899027,40.3105071512982:3.87307198501379,42.1346466988325:3.14023132017042,10.3925501811318:4.17774494976785,1.60212254850194:0.647182240984048,1.70633203815669:0.691081319699253,26.9954471848905:9.18732800364846,23.8975891494192:9.55687172410526,5.97776647191495:2.39000953036173,37.0559022063389:5.15717786867887,32.5640151859261:6.9747455547583,47.4018321139738:1.03534543728407,23.0205290019512:9.21383511480299,30.1175115280785:7.96556912090471,21.4263333356939:8.57907973533345,23.7806619377807:9.50778015597487,16.0408001043834:6.40552572048002;-1.05630945327053;1;11
